route_name,type,origin,destination,olat,olon,dlat,dlon,distance,time
San Antonio-San Jose,airplane,San Antonio,San Jose,29.4246002,-98.4951405,37.3361663,-121.890591,2335.6976351183416,3.919622043897927
San Antonio-Austin,airplane,San Antonio,Austin,29.4246002,-98.4951405,30.2711286,-97.7436995,118.79592661116268,1.1484949082639533
San Antonio-Jacksonville,airplane,San Antonio,Jacksonville,29.4246002,-98.4951405,30.3321838,-81.655651,1625.229613496473,3.031537016870591
San Antonio-Fort Worth,airplane,San Antonio,Fort Worth,29.4246002,-98.4951405,32.753177,-97.3327459,386.3079759797456,1.482884969974682
San Antonio-Columbus,airplane,San Antonio,Columbus,29.4246002,-98.4951405,39.9622601,-83.0007065,1833.5414485444471,3.291926810680559
San Antonio-Charlotte,airplane,San Antonio,Charlotte,29.4246002,-98.4951405,35.2272086,-80.8430827,1776.4829173333906,3.220603646666738
San Antonio-San Francisco,airplane,San Antonio,San Francisco,29.4246002,-98.4951405,37.7792588,-122.4193286,2393.7673003648247,3.992209125456031
San Antonio-Indianapolis,airplane,San Antonio,Indianapolis,29.4246002,-98.4951405,39.7683331,-86.1583502,1608.727813840984,3.01090976730123
San Antonio-Seattle,airplane,San Antonio,Seattle,29.4246002,-98.4951405,47.6038321,-122.330062,2873.514037672669,4.591892547090836
San Antonio-Denver,airplane,San Antonio,Denver,29.4246002,-98.4951405,39.7392364,-104.984862,1290.7383200279326,2.613422900034916
San Antonio-Washington,airplane,San Antonio,Washington,29.4246002,-98.4951405,38.8950368,-77.0365427,2229.7126471404954,3.7871408089256193
San Antonio-Boston,airplane,San Antonio,Boston,29.4246002,-98.4951405,42.3554334,-71.060511,2840.372681138863,4.550465851423579
San Antonio-El Paso,airplane,San Antonio,El Paso,29.4246002,-98.4951405,31.7601164,-106.4870404,807.5915158601811,2.009489394825226
San Antonio-Nashville,airplane,San Antonio,Nashville,29.4246002,-98.4951405,36.1622767,-86.7742984,1325.6205630375116,2.657025703796889
San Antonio-Detroit,airplane,San Antonio,Detroit,29.4246002,-98.4951405,42.3315509,-83.0466403,1992.961228713057,3.4912015358913213
San Antonio-Oklahoma City,airplane,San Antonio,Oklahoma City,29.4246002,-98.4951405,35.4729886,-97.5170536,678.7705560632196,1.8484631950790245
San Antonio-Portland,airplane,San Antonio,Portland,29.4246002,-98.4951405,45.5202471,-122.674194,2765.471650556485,4.456839563195606
San Antonio-Las Vegas,airplane,San Antonio,Las Vegas,29.4246002,-98.4951405,36.171697,-115.1463536,1724.475713330532,3.155594641663165
San Antonio-Memphis,airplane,San Antonio,Memphis,29.4246002,-98.4951405,35.1460249,-90.0517638,1016.485694640512,2.27060711830064
San Antonio-Baltimore,airplane,San Antonio,Baltimore,29.4246002,-98.4951405,39.290386,-76.61219,2280.075502162057,3.850094377702572
San Antonio-Louisville,airplane,San Antonio,Louisville,29.4246002,-98.4951405,38.2542376,-85.759407,1529.4820128021518,2.91185251600269
San Diego-New York,airplane,San Diego,New York,32.7174202,-117.162772,40.7127281,-74.0060152,3907.21913430936,5.884023917886699
San Diego-Los Angeles,airplane,San Diego,Los Angeles,32.7174202,-117.162772,34.052235,-118.243683,179.1667984664658,1.2239584980830822
