route_name,type,origin,destination,olat,olon,dlat,dlon,distance,time,CO2,price
Phoenix-Austin,road,Phoenix,Austin,33.4484367,-112.074141,30.2711286,-97.7436995,1619.766,17.163916666666665,194.37192,80.98830000000001
Phoenix-Jacksonville,road,Phoenix,Jacksonville,33.4484367,-112.074141,30.3321838,-81.655651,3291.2502000000004,35.6245,394.950024,164.56251000000003
Phoenix-Fort Worth,road,Phoenix,Fort Worth,33.4484367,-112.074141,32.753177,-97.3327459,1663.5178999999998,17.521416666666667,199.622148,83.175895
Phoenix-Columbus,road,Phoenix,Columbus,33.4484367,-112.074141,39.9622601,-83.0007065,3011.2316,33.71211111111111,361.347792,150.56158000000002
Phoenix-Charlotte,road,Phoenix,Charlotte,33.4484367,-112.074141,35.2272086,-80.8430827,3365.4816,36.798027777777776,403.857792,168.27408000000003
Phoenix-San Francisco,road,Phoenix,San Francisco,33.4484367,-112.074141,37.7792588,-122.4193286,1209.3937,13.731527777777778,145.127244,60.469685000000005
Phoenix-Indianapolis,road,Phoenix,Indianapolis,33.4484367,-112.074141,39.7683331,-86.1583502,2730.1127,30.488833333333336,327.613524,136.505635
Phoenix-Seattle,road,Phoenix,Seattle,33.4484367,-112.074141,47.6038321,-122.330062,2240.1148,26.47575,268.813776,112.00574
Phoenix-Denver,road,Phoenix,Denver,33.4484367,-112.074141,39.7392364,-104.984862,1321.6767,15.541777777777778,158.601204,66.08383500000001
Phoenix-Washington,road,Phoenix,Washington,33.4484367,-112.074141,38.8950368,-77.0365427,3706.1376,41.221777777777774,444.736512,185.30688
Phoenix-Boston,road,Phoenix,Boston,33.4484367,-112.074141,42.3554334,-71.060511,4239.0792,48.21936111111111,508.689504,211.95396
Phoenix-El Paso,road,Phoenix,El Paso,33.4484367,-112.074141,31.7601164,-106.4870404,692.1568000000001,7.483777777777777,83.05881600000001,34.60784
Phoenix-Nashville,road,Phoenix,Nashville,33.4484367,-112.074141,36.1622767,-86.7742984,2637.4982,29.04094444444444,316.499784,131.87491
Phoenix-Detroit,road,Phoenix,Detroit,33.4484367,-112.074141,42.3315509,-83.0466403,3177.9237000000003,35.9135,381.350844,158.89618500000003
Phoenix-Oklahoma City,road,Phoenix,Oklahoma City,33.4484367,-112.074141,35.4729886,-97.5170536,1546.368,17.145611111111112,185.56416,77.3184
Phoenix-Portland,road,Phoenix,Portland,33.4484367,-112.074141,45.5202471,-122.674194,2144.3717,24.760444444444445,257.324604,107.21858500000002
Phoenix-Las Vegas,road,Phoenix,Las Vegas,33.4484367,-112.074141,36.171697,-115.1463536,460.1066,5.977027777777778,55.212792,23.00533
Phoenix-Memphis,road,Phoenix,Memphis,33.4484367,-112.074141,35.1460249,-90.0517638,2296.119,25.167277777777777,275.53428,114.80595
Phoenix-Baltimore,road,Phoenix,Baltimore,33.4484367,-112.074141,39.290386,-76.61219,3658.7265,41.46697222222223,439.04718,182.936325
Phoenix-Louisville,road,Phoenix,Louisville,33.4484367,-112.074141,38.2542376,-85.759407,2758.3514,30.73238888888889,331.002168,137.91757
Philadelphia-New York,road,Philadelphia,New York,39.9527237,-75.1635262,40.7127281,-74.0060152,151.3953,2.021027777777778,18.167436,7.569765
Philadelphia-Los Angeles,road,Philadelphia,Los Angeles,39.9527237,-75.1635262,34.052235,-118.243683,4369.392900000001,48.35275,524.3271480000001,218.46964500000004
Philadelphia-Chicago,road,Philadelphia,Chicago,39.9527237,-75.1635262,41.8755616,-87.6244212,1222.8547,13.983555555555556,146.74256400000002,61.14273500000001
